127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.003141
127.0.0.1, 2018-09-22 18:19:42, GET, /SP/private/home, HTTP/1.1, 404, 0.012360
127.0.0.1, 2018-09-22 18:19:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2018-09-22 18:21:16, GET, /SP, HTTP/1.1, 200, 0.057618
127.0.0.1, 2018-09-22 18:21:36, GET, /admin/default/site, HTTP/1.1, 200, 0.032948
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/default/index, HTTP/1.1, 200, 0.017860
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000796
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000743
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000511
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/css/calendar.css, HTTP/1.1, 304, 0.003208
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.004556
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/js/web2py.js, HTTP/1.1, 304, 0.003646
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/js/calendar.js, HTTP/1.1, 304, 0.002139
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/js/jquery.js, HTTP/1.1, 304, 0.005274
127.0.0.1, 2018-09-22 18:21:39, GET, /SP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.009508
127.0.0.1, 2018-09-22 18:22:02, GET, /SP/default/index, HTTP/1.1, 200, 0.017332
127.0.0.1, 2018-09-22 18:22:55, GET, /SP/default/index, HTTP/1.1, 200, 0.016736
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/default/index, HTTP/1.1, 200, 0.016416
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002405
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001060
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002783
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002022
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001899
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/css/calendar.css, HTTP/1.1, 304, 0.002740
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/js/jquery.js, HTTP/1.1, 304, 0.002062
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/js/web2py.js, HTTP/1.1, 304, 0.002151
127.0.0.1, 2018-09-22 18:23:49, GET, /SP/static/js/calendar.js, HTTP/1.1, 304, 0.002226
127.0.0.1, 2018-09-22 18:24:24, GET, /SP/default/index, HTTP/1.1, 200, 0.018819
127.0.0.1, 2018-09-22 18:24:24, GET, /, HTTP/1.1, 303, 0.000610
127.0.0.1, 2018-09-22 18:24:24, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001643
127.0.0.1, 2018-09-22 18:24:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000794
127.0.0.1, 2018-09-22 18:24:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001338
127.0.0.1, 2018-09-22 18:24:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002083
127.0.0.1, 2018-09-22 18:24:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002552
127.0.0.1, 2018-09-22 18:24:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002048
127.0.0.1, 2018-09-22 18:24:25, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001761
127.0.0.1, 2018-09-22 18:24:25, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.003338
127.0.0.1, 2018-09-22 18:24:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002439
